title,location,job_type,employer,category
Accountants,Nairobi,Full Time,Peal Rite,Accounting & Auditing
Sales Executives,Nairobi,Full Time,Peal Rite,Sales & Business Development
Customer Care Agents,Nairobi,Full Time,Peal Rite,Customer Service & Support
"Sales Manager Ea, Hcv (Heavy Commercial Vehicles)",Nairobi,Full Time,EAGLE HR CONSULTANTS,Sales & Business Development
Personal Driver,Nairobi,Full Time,Institute of Certified Public Accountants of Kenya (ICPAK),Administrative
Business Development Executive,Nairobi,Full Time,Institute of Certified Public Accountants of Kenya (ICPAK),Sales & Business Development
Quality Assurance Specialist - Mobile Financial Services,Nairobi,Full Time,Telkom Kenya Limited - TKL,Quality Control & Assurance
Quality Assurance Specialist - Carrier Services Division,Nairobi,Full Time,Telkom Kenya Limited - TKL,Quality Control & Assurance
Receptionist,Nairobi,Full Time,Covenant Executives Consultants,Administrative
Sales Agent ,Nairobi,Full Time,Covenant Executives Consultants,Sales & Business Development
Call Centre Rep,Nairobi,Full Time,Covenant Executives Consultants,Customer Service & Support
Administrative And Hr Secretary,Rest of Kenya,Full Time,Catholic Diocese of Maralal,Administrative
Journalism Skills Teacher - Dadaab (Kenya Nationals Only) - Kenya,Rest of Kenya,Full Time,Norwegian Refugee Council (NRC),Teaching & Training
Business & Entrepreneurship Teacher - Dadaab (Kenya Nationals Only) - Kenya,Rest of Kenya,Full Time,Norwegian Refugee Council (NRC),Teaching & Training
Telesales Customer Service Representative ,Nairobi,Full Time,Solutions Unlimited Kenya,Customer Service & Support
Implementation And Support Technician,Nairobi,Full Time,Solutions Unlimited Kenya,Engineering
Field Business Development Officer,Nairobi,Full Time,Solutions Unlimited Kenya,Trades & Services
Caretaker,Nairobi,Full Time,Denanto Enterprises,Building & Architecture
Demand Planning Manager,Nairobi,Full Time,Reeds Africa Consult Ltd (RAC),Supply Chain & Procurement
Marketing And Pr Manager,Nairobi,Full Time,Storymoja Africa,Marketing & Communications
Motorcycle Rider,Nairobi,Full Time,Sky & Earth Bio-technology Development Ltd,Trades & Services
Sales Manager - Consumer Pharmaceutical Marketing,Nairobi,Full Time,Generics Africa Limited,Sales & Business Development
Product Specialist - Cardiovascular ,Nairobi,Full Time,Generics Africa Limited,Sales & Business Development
Kakuma Project Coordinator,Rest of Kenya,Full Time,Kenya Good Neighbors (GN Kenya),Project Management
Meguarra Project Income Generation Staff ,Rest of Kenya,Full Time,Kenya Good Neighbors (GN Kenya),Social Developement
Bisil Project Income Generation Staff,Rest of Kenya,Full Time,Kenya Good Neighbors (GN Kenya),Social Developement
Bisil Project Accountant,Rest of Kenya,Full Time,Kenya Good Neighbors (GN Kenya),Accounting & Auditing
Administration Officer,Rest of Kenya,Full Time,Kenya Good Neighbors (GN Kenya),Administrative
Livestock Production Officer,Rest of Kenya,Full Time,Kenya Good Neighbors (GN Kenya),Farming
Construction Officer,Rest of Kenya,Full Time,Kenya Good Neighbors (GN Kenya),Building & Architecture
Dairy Project General Manager ,Rest of Kenya,Full Time,Kenya Good Neighbors (GN Kenya),Project Management
Legal Assistant Intern,Rest of Kenya,Internships & Graduate,Kenya Good Neighbors (GN Kenya),Legal
Human Resources Officer,Rest of Kenya,Full Time,Kenya Good Neighbors (GN Kenya),Recruitment
M&e Coordinator,Rest of Kenya,Full Time,Kenya Good Neighbors (GN Kenya),Project Management
Project Coordinator,Rest of Kenya,Full Time,Kenya Good Neighbors (GN Kenya),Project Management
Head Office Accountant,Nairobi,Full Time,Kenya Good Neighbors (GN Kenya),Accounting & Auditing
Sponsorship Services Coordinator,Rest of Kenya,Full Time,Kenya Good Neighbors (GN Kenya),Social Developement
Telemarketers,Nairobi,Full Time,Baobab Development Group Ltd,Sales & Business Development
Accountant,Nairobi,Full Time,Pesabazaar.com,Accounting & Auditing
Assistant Production Manager,Nairobi,Full Time,Tropical Heat Ltd,Quality Control & Assurance
Production Manager,Nairobi,Full Time,Tropical Heat Ltd,Management
School Nurse,Nairobi,Full Time,SABIS International School,Medicine & Pharmaceutical
Physical Education Teacher ,Nairobi,Full Time,SABIS International School,Teaching & Training
Art Teacher,Nairobi,Full Time,SABIS International School,Teaching & Training
Music Teacher,Nairobi,Full Time,SABIS International School,Teaching & Training
Supervisor,Nairobi,Full Time,SABIS International School,Administrative
Student Life Coordinator,Nairobi,Full Time,SABIS International School,Administrative
Math Teacher,Nairobi,Full Time,SABIS International School,Teaching & Training
Science Teacher,Nairobi,Full Time,SABIS International School,Teaching & Training
Research Coordinator,Nairobi,Full Time,Gamma Research Services Limited,Research
Farm Manager (Horticulture),Rest of Kenya,Full Time,Anonymous,Management
It Intern,Nairobi,Internships & Graduate,Summit Recruitment & Search,IT & Telecoms
Micro Finance Sales Executive - Nakuru,Nakuru,Full Time,Jijenge Credit limited,Sales & Business Development
People & Culture Manager,Nairobi,Full Time,The African Talent Company (TATC),Recruitment
Front Office Assistant / Electrical Sales Representative,Nairobi,Full Time,The African Talent Company (TATC),Customer Service & Support
Merchandise Sales And Client Manager,Thika,Full Time,Africa Instant Services Ltd (Afri Intimates),Sales & Business Development
Graphic Designer,Nairobi,Full Time,Roma Solutions Limited (Roma Marketing),Art & Design
"Sales Executives​ (Printing, Branding And Advertising)​",Nairobi,Full Time,Roma Solutions Limited (Roma Marketing),Sales & Business Development
It Field Marketing Personnel/account Managers,Nairobi,Full Time,Anonymous,Sales & Business Development
Management Trainee - Nakuru/naivasha,Nakuru,Full Time,The African Talent Company (TATC),Administrative
Project Manager/quantity Surveyor,Nairobi,Full Time,Limojade Management Limited,Project Management
Accountant,Nairobi,Full Time,Limojade Management Limited,Accounting & Auditing
Oracle Developer & Senior Enterprise Systems Analyst,Nairobi,Full Time,Summit Recruitment & Search,IT & Telecoms
Customer Service Representative,Nairobi,Full Time,Telesky Limited,Customer Service & Support
Graphic Design & Web Development,Nairobi,Full Time,cultnight Kenya,Art & Design
Agriculture Intern - Nakuru,Nakuru,Full Time,Summit Recruitment & Search,Farming
Sales Representatives (One Week Contract),Nairobi,Full Time,Preffered Laundry and Dry Cleaning,Sales & Business Development
Head Teacher ,Outside Kenya,Full Time,Tanga Bohra Education Society (TBES),Teaching & Training
Head Of Maintenance - Manufacturing,Nairobi,Full Time,The African Talent Company (TATC),Engineering
Medical Officer,Nairobi,Full Time,PCEA Kikuyu Hospital,Medicine & Pharmaceutical
"Executive Chef - Khartoum, Sudan",Outside Kenya,Full Time,Summit Recruitment & Search,Food Services
Finance Manager - Safari Company,Nairobi,Full Time,Summit Recruitment & Search,Accounting & Auditing
Property Sales Executives,Rest of Kenya,Full Time,BluMarketing,Sales & Business Development
Finance And Admin Officer,Nairobi,Full Time,First Idea Consulting Limited,Accounting & Auditing
Facility & Security Manager,Nairobi,Full Time,Anonymous,Property Management
Production/works Clerk,Rest of Kenya,Full Time,Anonymous,Accounting & Auditing
Restaurant Supervisor,Nairobi,Full Time,The African Talent Company (TATC),Food Services
Factory Manager,Nairobi,Full Time,Reeds Africa Consult Ltd (RAC),Food Services
Customer Care With Inbound Sales ,Nairobi,Full Time,AKL International Limtied,Customer Service & Support
Software Solution Sales Consultant ,Nairobi,Full Time,ITwenty Seven Solutions Limited (i27),Sales & Business Development
Data Entry Intern,Nairobi,Full Time,Flag 42 Limited,Administrative
Marketing Officer,Nairobi,Full Time,International Medical Treatment (IMT),Marketing & Communications
Administrative Assistant (Office Manager),Nairobi,Full Time,Skills Geographic,Consulting & Strategy
Community Manager,Nairobi,Full Time,Salim Wazaran Kenya Co. Ltd,Marketing & Communications
Assistant Internal Auditor,Nairobi,Full Time,FSI Capital Ltd,Accounting & Auditing
Accounts Assistant,Nairobi,Full Time,Hand in Hand Eastern Africa (HiH EA),Accounting & Auditing
Creative Designer,Nairobi,Full Time,AutoXpress Ltd,Art & Design
Legal Assistant,Nairobi,Full Time,Anonymous,Legal
Credit Control Manager - Tanzania,Outside Kenya,Full Time,Uber Africa Solutions,Management
Senior Accountant ,Outside Kenya,Full Time,Uber Africa Solutions,Accounting & Auditing
Marketing Executive (Brand Awareness Creation & Protection),Nairobi,Full Time,Uber Africa Solutions,Marketing & Communications
Head Of Protection,Kisumu,Full Time,Summit Recruitment & Search,Accounting & Auditing
Auto Garage Service Advisor (Workshop Supervisor) - Modern Motor Vehicle Garage (Re-Advertisement),Nairobi,Full Time,Skills Geographic,Engineering
"Mechanical Technician – Nairobi, Kenya",Nairobi,Full Time,Summit Recruitment & Search,Engineering
Sales Executive- Bread,Nairobi,Full Time,Baraka Flour Mills,Sales & Business Development
Dispatch Rider ,Nairobi,Full Time,Chapa Copy Ltd,Customer Service & Support
General Manager,Kisumu,Full Time,Center for Public Health and Development (CPHD),Management
Sales Executive - Motor Vehicles ,Nairobi,Full Time,BNC Motors Ltd,Sales & Business Development
Sales Executives,Nairobi,Full Time,A-Tech Limited (Cartridge Mania Kenya),Sales & Business Development
Driver,Nairobi,Full Time,Trumen Investment Ltd,Trades & Services
Sales Representative,Nairobi,Full Time,Trumen Investment Ltd,Sales & Business Development
Chief Finance Officer - Cfo,Nairobi,Full Time,Anonymous,Accounting & Auditing
"Sales Executives (Nairobi, Thika & Machakos)",Rest of Kenya,Full Time,AAR Insurance Kenya Limited,Sales & Business Development
Sales And Marketing,Nairobi,Full Time,Hotman Trading Limited,Sales & Business Development
Sales / Business Development Executives,Nairobi,Full Time,First Liberty Capital Co. Limited,Sales & Business Development
Cook/chef - Chinese Cuisine,Nairobi,Full Time,Cafe Kristina Ltd,Food Services
Sales And Marketing Representative,Nairobi,Full Time,Anonymous,IT & Telecoms
I.t. Support Technician,Nairobi,Full Time,Anonymous,IT & Telecoms
Senior Agribusiness Development Expert - Africa,Rest of Kenya,Full Time,The African Talent Company (TATC),Consulting & Strategy
Pastry Chef/baker,Mombasa,Full Time,Evaporate Foods Limited,Food Services
Accountant,Nairobi,Full Time,Anonymous,Accounting & Auditing
Sales Executives,Nairobi,Full Time,Anonymous,Sales & Business Development
Marketing Executive ,Nairobi,Full Time,Club Hypnotica,Marketing & Communications
Store Keeper,Nairobi,Full Time,Roswam Hotel,Supply Chain & Procurement
Office Adimistrator,Nairobi,Full Time,Career King Kenya,Administrative
Insurance Sales Representatives,Nairobi,Full Time,CIC Insurance Group - Upperhill Branch,Sales & Business Development
Head Teacher (Boys High School),Rest of Kenya,Full Time,Anonymous,Teaching & Training
Academic/technical Writing Jobs,Nairobi,Full Time,ESPOS Enterprises,Research
Quality Assurance Manager ,Nairobi,Full Time,Anonymous,Quality Control & Assurance
Laboratory Technician - Microbiologist,Nairobi,Full Time,Anonymous,Quality Control & Assurance
Sales Administrator,Nairobi,Full Time,Reeds Africa Consult Ltd (RAC),Sales & Business Development
Marketing And Customer Relations Officer,Nairobi,Full Time,Kele Company Ventures,Sales & Business Development
Country Manager (Hargeisa),Outside Kenya,Full Time,Burn Manufacturing USA LLC Kenya (BURN Design Lab),Management
Experienced Academic And Research Writers,Nairobi,Full Time,Kasarani Research Center,Research
Private Car Driver,Nairobi,Full Time,Anonymous,Trades & Services
Key Accounts Manager,Nairobi,Full Time,Generics Africa Limited,Sales & Business Development
Sales Manager; Ethical Marketing,Nairobi,Full Time,Generics Africa Limited,Sales & Business Development
Medical Receptionist,Nairobi,Full Time,Nairobi Gastro Clinic & Endoscopy Centre,Customer Service & Support
Sales And Marketing Manager,Nairobi,Full Time,Evercare Products Limited,Sales & Business Development
Mobile Ux/ui Engineer,Nairobi,Full Time,Fight Rabbit,IT & Telecoms
Online/digital Marketing,Nairobi,Full Time,Salvon Africa Ltd,Marketing & Communications
Warehouse Clerk - Entry Level,Nairobi,Full Time,Taimba Ltd,Supply Chain & Procurement
English/literature Teacher,Thika,Full Time,Midas International Boys High School (Midas Group of Schools),Teaching & Training
"Deputy Director, Irrigation Water Management",Nairobi,Full Time,Public Service Commission,Management
"Director, Irrigation Water Management ",Nairobi,Full Time,Public Service Commission,Management
Principal Superintending Geologist,Nairobi,Full Time,Public Service Commission,Management
Senior Principal Superintending Geologist,Nairobi,Full Time,Public Service Commission,Management
"Director, National Water Resources",Nairobi,Full Time,Public Service Commission,Management
"Senior Assistant Director, Multi-Lateral Environmental Agreements And Domestication (National, Regional And Inaternational)",Nairobi,Full Time,Public Service Commission,Management
"Deputy Director, Multi-Lateral Environmental Agreements And Domestication (National, Regional And International",Nairobi,Full Time,Public Service Commission,Management
"Senior Assistant Director, Meteorological Services",Nairobi,Full Time,Public Service Commission,Management
"Deputy Director, Meteorological Services",Nairobi,Full Time,Public Service Commission,Management
Assistant Engineer Ii -Structural (Building Services),Nairobi,Full Time,Public Service Commission,Engineering
Assistant Engineer Ii -Electrical (Building Services) ,Nairobi,Full Time,Public Service Commission,Engineering
Assistant Engineer Ii -Mechanical (Building Services) ,Nairobi,Full Time,Public Service Commission,Engineering
Management Trainee - Eldoret,Eldoret,Full Time,The African Talent Company (TATC),Management
Management Trainee - Mombasa,Mombasa,Full Time,The African Talent Company (TATC),Management
Principal Superintending Building Surveyor,Nairobi,Full Time,Public Service Commission,Engineering
Senior Principal Superintending Building Surveyor,Nairobi,Full Time,Public Service Commission,Engineering
Chief Building Surveyor ,Nairobi,Full Time,Public Service Commission,Engineering
Principal Superintending Graphic Designer,Nairobi,Full Time,Public Service Commission,Art & Design
Senior Principal Superintending Graphic Designer ,Nairobi,Full Time,Public Service Commission,Art & Design
Chief Graphic Designer ,Nairobi,Full Time,Public Service Commission,Art & Design
Trainee Casino Dealer,Mombasa,Full Time,Moorgate Ltd (CASINOMAX),Trades & Services
Chief Quantity Surveyor ,Nairobi,Full Time,Public Service Commission,Engineering
Deputy Chief Architect,Nairobi,Full Time,Public Service Commission,Engineering
Chief Architect ,Nairobi,Full Time,Public Service Commission,Engineering
"Director-Building Safety, Testing, Quality And Compliance ",Nairobi,Full Time,Public Service Commission,Management
Director -Building Inspection And Audit ,Nairobi,Full Time,Public Service Commission,Management
"Senior Assistant Director, Estates Management ",Nairobi,Full Time,Public Service Commission,Management
"Deputy Director, Estate Management ",Nairobi,Full Time,Public Service Commission,Management
"Deputy Director, Housing",Nairobi,Full Time,Public Service Commission,Management
"Senior Assistant Director, Urban Management",Nairobi,Full Time,Public Service Commission,Management
"Deputy Director, Urban Management",Nairobi,Full Time,Public Service Commission,Management
Chef ,Mombasa,Full Time,Moorgate Ltd (CASINOMAX),Food Services
Principal Superintending Engineer [Mechanical),Nairobi,Full Time,Public Service Commission,Engineering
Senior Principal Superintending Engineer (Mechanical),Nairobi,Full Time,Public Service Commission,Engineering
"Deputy Director, Aircraft Accident Investigation (Operations)",Nairobi,Full Time,Public Service Commission,Management
Senior Assistant Director Railways,Nairobi,Full Time,Public Service Commission,Management
"Deputy Director, Railways Transport ",Nairobi,Full Time,Public Service Commission,Management
"Senior Assistant Director, Roads Transport",Nairobi,Full Time,Public Service Commission,Management
"Deputy Director, Roads Transport",Nairobi,Full Time,Public Service Commission,Management
"Director, Roads And Railway Transport ",Nairobi,Full Time,Public Service Commission,Management
Tourism Officer Ii ,Nairobi,Full Time,Public Service Commission,Marketing & Communications
"Senior Assistant Director, Tourism",Nairobi,Full Time,Public Service Commission,Management
Deputy Director Of Tourism,Nairobi,Full Time,Public Service Commission,Management
"Senior Assistant Director, Occupational Safety And Health Services",Nairobi,Full Time,Public Service Commission,Management
"Deputy Director, Occupational Safety And Health Services",Nairobi,Full Time,Public Service Commission,Management
"Director, Occupational Safety And Health Services ",Nairobi,Full Time,Public Service Commission,Management
"Deputy Director, Children Services",Nairobi,Full Time,Public Service Commission,Management
"Senior Assistant Director, Social Development ",Nairobi,Full Time,Public Service Commission,Management
"Deputy Director, Social Development",Nairobi,Full Time,Public Service Commission,Management
Operations Manager,Nairobi,Full Time,Summit Recruitment & Search,Administrative
Head Of Sales,Nairobi,Full Time,Summit Recruitment & Search,Sales & Business Development
Data Manager,Nairobi,Full Time,Summit Recruitment & Search,Social Developement
Drivers,Nairobi,Full Time,Kenya Plant Health Inspectorate Service (KEPHIS),Administrative
Office Assistant,Nairobi,Full Time,Kenya Plant Health Inspectorate Service (KEPHIS),Administrative
Chief Systems Administrator – It Security,Nairobi,Full Time,Kenya Plant Health Inspectorate Service (KEPHIS),IT & Telecoms
Senior Systems/database Administrator - Programmer,Nairobi,Full Time,Kenya Plant Health Inspectorate Service (KEPHIS),IT & Telecoms
Systems Administrator - Infrastructure,Nairobi,Full Time,Kenya Plant Health Inspectorate Service (KEPHIS),IT & Telecoms
 Systems/database Administrator – Programmer ,Nairobi,Full Time,Kenya Plant Health Inspectorate Service (KEPHIS),IT & Telecoms
Field Coordinator - Laikipia North,Rest of Kenya,Full Time,Africa Educational Trust (AET),Project Management
Laboratory Technologist,Nairobi,Full Time,Kenya Plant Health Inspectorate Service (KEPHIS),Farming
Assistant Inspector,Nairobi,Full Time,Kenya Plant Health Inspectorate Service (KEPHIS),Farming
Inspectors,Nairobi,Full Time,Kenya Plant Health Inspectorate Service (KEPHIS),Farming
Legal Officer ,Nairobi,Full Time,Kenya Plant Health Inspectorate Service (KEPHIS),Legal
 Corporation Secretary And Head Of Legal Affair,Nairobi,Full Time,Kenya Plant Health Inspectorate Service (KEPHIS),Legal
Senior Records Clerk - Grade 8,Nairobi,Full Time,Jomo Kenyatta University of Agriculture and Technology (JKUAT),Administrative
Senior Records Clerk I ,Nairobi,Full Time,Jomo Kenyatta University of Agriculture and Technology (JKUAT),Administrative
Senior Records Clerk Ii ,Nairobi,Full Time,Jomo Kenyatta University of Agriculture and Technology (JKUAT),Administrative
Records Clerk Grade – 5,Nairobi,Full Time,Jomo Kenyatta University of Agriculture and Technology (JKUAT),Administrative
Corporate Sales Manager,Nairobi,Full Time,The African Talent Company (TATC),Sales & Business Development
Clerk Grade – 4,Nairobi,Full Time,Jomo Kenyatta University of Agriculture and Technology (JKUAT),Administrative
Principal Sports And Games Officer ,Nairobi,Full Time,Jomo Kenyatta University of Agriculture and Technology (JKUAT),Teaching & Training
Deputy Chief Internal Auditor ,Nairobi,Full Time,Jomo Kenyatta University of Agriculture and Technology (JKUAT),Accounting & Auditing
Business Development Manager (Hospital & Healthcare) ,Nairobi,Part Time,TRINCO Healthcare International,Sales & Business Development
"Solutions Architect, Africa Kenya",Nairobi,Full Time,East African Breweries Limited (EABL),IT & Telecoms
"Business Development & Recruitment Consultant - Karen, Nairobi ",Nairobi,Full Time,Summit Recruitment & Search,Sales & Business Development
"Senior Assistant Director, Regional Economic Integration ",Nairobi,Full Time,Public Service Commission,Management
"Deputy Director, Regional Political Integration ",Nairobi,Full Time,Public Service Commission,Management
"Senior Assistant Director, Regional Liaison Integration",Nairobi,Full Time,Public Service Commission,Management
"Deputy Director, Regional Liaison Integration ",Nairobi,Full Time,Public Service Commission,Management
Medical Sales Representative (4 Posts) Ladies Highly Preferred,Nairobi,Full Time,Medipoint Pharmaceuticals Ltd,Sales & Business Development
"Senior Assistant Director, Regional Productive And Services Integration",Nairobi,Full Time,Public Service Commission,Management
"Deputy Director, Regional Productive And Services Integration ",Nairobi,Full Time,Public Service Commission,Management
"Senior Assistant Director, Regional Social Integration ",Nairobi,Full Time,Public Service Commission,Management
"Deputy Director, Regional Social Integration",Nairobi,Full Time,Public Service Commission,Management
"Senior Assistant Director, Health Records And Information Management",Nairobi,Full Time,Public Service Commission,Medicine & Pharmaceutical
"Deputy Director, Health Records And Information Management ",Nairobi,Full Time,Public Service Commission,Medicine & Pharmaceutical
"Senior Assistant Director, Public Health",Nairobi,Full Time,Public Service Commission,Medicine & Pharmaceutical
"Deputy Director, Public Health ",Nairobi,Full Time,Public Service Commission,Medicine & Pharmaceutical
Senior Assistant Director Of Medical Services ,Nairobi,Full Time,Public Service Commission,Medicine & Pharmaceutical
Deputy Director Of Medical Services ,Nairobi,Full Time,Public Service Commission,Medicine & Pharmaceutical
Senior Deputy Director Of Medical Services,Nairobi,Full Time,Public Service Commission,Medicine & Pharmaceutical
"Senior Medical Specialist – Four (4) Posts (Obstetrics/gynecologist – 1, Paeditrician -1, Ophthalmologist -1, Dermatologist -1)",Nairobi,Full Time,Public Service Commission,Medicine & Pharmaceutical
"Senior Assistant Director, Nursing Services ",Nairobi,Full Time,Public Service Commission,Medicine & Pharmaceutical
"Deputy Director, Nursing Services",Nairobi,Full Time,Public Service Commission,Medicine & Pharmaceutical
Senior Assistant Chief Radiation Protection Officer ,Nairobi,Full Time,Public Service Commission,Medicine & Pharmaceutical
Deputy Chief Radiation Protection Officer ,Nairobi,Full Time,Public Service Commission,Medicine & Pharmaceutical
Chief Radiation Protection Officer ,Nairobi,Full Time,Public Service Commission,Medicine & Pharmaceutical
"Deputy Director, Adult And Continuing Education ",Nairobi,Full Time,Public Service Commission,Management
Technician- Hospitality Department,Nairobi,Full Time,Kabete National Polytechnic,Teaching & Training
Technician –Electrical And Electronics,Nairobi,Full Time,Kabete National Polytechnic,Teaching & Training
Head Technician- Applied Sciences Department,Nairobi,Full Time,Kabete National Polytechnic,Teaching & Training
Head Of Catering Unit,Nairobi,Full Time,Kabete National Polytechnic,Food Services
Polytechnic Matron,Nairobi,Full Time,Kabete National Polytechnic,Administrative
Receptionist,Nairobi,Full Time,Kabete National Polytechnic,Administrative
Secretary,Nairobi,Full Time,Kabete National Polytechnic,Administrative
Executive Secretary,Nairobi,Full Time,Kabete National Polytechnic,Administrative
Waitress / Waiter,Nairobi,Full Time,Cafe Bistro Nairobi,Food Services
Executive Sous Chef,Nairobi,Full Time,Anonymous,Food Services
Client Service Executive (Cse),Nairobi,Full Time,Anonymous,Customer Service & Support
Sales And Marketing Representative/officer (With School Experience),Nairobi,Full Time,Career King Kenya,Sales & Business Development
Section Manager – Delicatessen / Dairy,Nairobi,Full Time,Flexi Personnel Limited,Food Services
Section Manager – Grocery,Nairobi,Full Time,Flexi Personnel Limited,Food Services
Business Development Manager,Nairobi,Full Time,Springboard Capital Ltd,Sales & Business Development
Supply Chain Manager,Nairobi,Full Time,Watervale Investments,Supply Chain & Procurement
Business Development - Recruitment,Nairobi,Full Time,The African Talent Company (TATC),Sales & Business Development
Deputy Chief Economist/statistician ,Nairobi,Full Time,Public Service Commission,Management
"Director, Humanitarian And Social Mobilization (Community Mobilization) ",Nairobi,Full Time,Public Service Commission,Management
"Director, Humanitarian And Social Mobilization (Relief And Rehabilitation) ",Nairobi,Full Time,Public Service Commission,Management
"Secretary, Social Rehabilitation ",Nairobi,Full Time,Public Service Commission,Management
"Senior Assistant Director, Policy And Research ",Nairobi,Full Time,Public Service Commission,Management
"Deputy Director, Policy And Research",Nairobi,Full Time,Public Service Commission,Management
"Director, Policy And Research ",Nairobi,Full Time,Public Service Commission,Management
"Senior Assistant Director, Capacity Building, Civic Education & Public Participation",Nairobi,Full Time,Public Service Commission,Management
"Deputy Director, Capacity Building, Civic Education & Public Participation ",Nairobi,Full Time,Public Service Commission,Management
"Director, Capacity Building, Civic Education & Public Participation ",Nairobi,Full Time,Public Service Commission,Management
"Senior Assistant Director, Intergovernmental Relations ",Nairobi,Full Time,Public Service Commission,Management
"Deputy Director, Intergovernmental Relations ",Nairobi,Full Time,Public Service Commission,Management
"Director, Intergovernmental Relations ",Nairobi,Full Time,Public Service Commission,Management
Lecturer Ii- (Kenya Institute Of Business Training -Kibt),Nairobi,Full Time,Public Service Commission,Teaching & Training
Business Development & Marketing Manager,Mombasa,Full Time,Mwanainchi Bakers and Confectioners Ltd (MBC),Sales & Business Development
Senior Principal Lecturer I (Kenya Institute Of Business Training -Kibt) ,Nairobi,Full Time,Public Service Commission,Teaching & Training
Brand Ambassador,Nairobi,Full Time,Wire Products Limited,Marketing & Communications
"Senior Assistant Director, Government Clearing Services ",Nairobi,Full Time,Public Service Commission,Supply Chain & Procurement
"Deputy Director, Government Clearing Services ",Nairobi,Full Time,Public Service Commission,Supply Chain & Procurement
"Director, Government Clearing Services ",Nairobi,Full Time,Public Service Commission,Supply Chain & Procurement
Ecde And P1 Teacher - Ongata Rongai,Rest of Kenya,Full Time,Precious Gems School,Teaching & Training
"Senior Assistant Director, Supply Chain Management Services ",Nairobi,Full Time,Public Service Commission,Supply Chain & Procurement
"Deputy Director, Supply Chain Management Services ",Nairobi,Full Time,Public Service Commission,Supply Chain & Procurement
"Senior Deputy Director, Supply Chain Management Services ",Nairobi,Full Time,Public Service Commission,Supply Chain & Procurement
"Director, Supply Chain Management Services",Nairobi,Full Time,Public Service Commission,Supply Chain & Procurement
Senior Assistant Internal Auditor General Ii ,Nairobi,Full Time,Public Service Commission,Accounting & Auditing
Senior Assistant Internal Auditor General ,Nairobi,Full Time,Public Service Commission,Accounting & Auditing
Deputy Internal Auditor General ,Nairobi,Full Time,Public Service Commission,Accounting & Auditing
Research Fellow/ Lecturer ,Nairobi,Full Time,Public Service Commission,Teaching & Training
Gaming Inspector Ii ,Nairobi,Full Time,Public Service Commission,Customer Service & Support
Senior Assistant Government Printer ,Nairobi,Full Time,Public Service Commission,Administrative
Deputy County Commissioner I ,Nairobi,Full Time,Public Service Commission,Administrative
Sales Executives,Rest of Kenya,Full Time,Anonymous,Marketing & Communications
Deputy Secretary ,Nairobi,Full Time,Public Service Commission,Administrative
Deputy Secretary ,Nairobi,Full Time,Public Service Commission,Administrative
Senior Deputy Secretary,Nairobi,Full Time,Public Service Commission,Administrative
Director Of Administration,Nairobi,Full Time,Public Service Commission,Administrative
Senior Coordinator For The East Africa Refugee Response,Nairobi,Full Time,Church of Sweden,Project Management
Regional Stress & Resilience Advisor - Based In Nairobi (To Cover East Africa),Nairobi,Full Time,International Committee of the Red Cross (ICRC),Project Management
Inter-Regional Education Coordinator,Nairobi,Full Time,Jesuit Refugee Service Eastern Africa (JRS Eastern Africa),Project Management
Regional Emergency Preparedness Coordinator,Nairobi,Full Time,International Rescue Committee (IRC),Project Management
Hr Intern - Nairobi/mombasa,Nairobi,Full Time,The Tamarind Group,Recruitment
"International Director, Cms-Africa",Nairobi,Full Time,CMS-Africa,Project Management
Customer Engagement Associate,Rest of Kenya,Full Time,PowerGen Renewable Energy Ltd,Customer Service & Support
Chauffeur,Nairobi,Full Time,Saddleback Tours and Travel Ltd (Saddle Back),Customer Service & Support
Metal Fabrication / Welding / Engineering Field Sales Specialist,Nairobi,Full Time,The African Talent Company (TATC),Sales & Business Development
Project Manager – Governance Specialist ,Nairobi,Full Time,The African Institute for Development Policy (AFIDEP),Project Management
"Associate: Monitoring, Evaluation And Reporting",Nairobi,Full Time,RefugePoint,Project Management
Regional Training And Capacity Development Specialist ,Nairobi,Full Time,The International Institute of Rural Reconstruction (IIRR),Project Management
"Programme Coordinator, Migration And Displacement Initiative",Nairobi,Full Time,Save the Children International Kenya,Project Management
Food & Beverage Manager,Nairobi,Full Time,Best Western Plus - Meridian Hotel,Food Services
Hr Head - Africa,Nairobi,Full Time,Summit Recruitment & Search,Recruitment
General Manager - Microfinance,Nairobi,Full Time,The African Talent Company (TATC),Management
Micro Finance Sales Executive - Nairobi,Nairobi,Full Time,Jijenge Credit limited,Sales & Business Development
Sacco Manager (For A Fast Growing New Sacco),Nairobi,Full Time,Skills Geographic,Accounting & Auditing
Language Teachers,Nairobi,Full Time,Anonymous,Teaching & Training
School Bursar ,Nairobi,Full Time,"St. Mary Academy, Donholm",Accounting & Auditing
Economist/statistician Interns,Nairobi,Full Time,"MINISTRY OF ENVIRONMENT, AND NATURAL RESOURCES",Research
Senior Ict Officer ,Nairobi,Full Time,National Industrial Training Authority (NITA),IT & Telecoms
Corporate Communication Officer Ii,Nairobi,Full Time,National Industrial Training Authority (NITA),Marketing & Communications
Security Officer I,Nairobi,Full Time,National Industrial Training Authority (NITA),Trades & Services
Chief Administration Officer,Nairobi,Full Time,National Industrial Training Authority (NITA),Administrative
Chief Human Resource Officer,Nairobi,Full Time,National Industrial Training Authority (NITA),Recruitment
